id,name,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,price,weekly_price,monthly_price,number_of_reviews,first_review,review_scores_rating,first_year
31646943,Belden Tower downtown 15 m O'Hare 40m restaurants,0.0,Logan Square,41.92243,-87.70036,Entire home/apt,99.0,694.9038461538462,3011.25,4,2019-01-27,70.0,2019
31648026,Modern & spacious unit by Taylor St★Great location,0.0,Near West Side,41.86918,-87.68906,Private room,50.0,350.96153846153845,1520.8333333333333,7,2019-02-17,97.0,2019
31651421,Spacious & Bright 3BR Heart of Wicker Park for You,0.0,West Town,41.9093,-87.66849,Entire home/apt,299.0,2098.75,9094.583333333334,10,2019-03-03,96.0,2019
31652438,West Ridge/Rogers Park Retreat,0.0,West Ridge,42.01543,-87.68671,Entire home/apt,111.0,779.1346153846154,3376.25,13,2019-01-27,100.0,2019
31653910,Lovely Andersonville Apt with Ideal Location,1.0,Uptown,41.97118,-87.66549,Entire home/apt,71.0,498.36538461538464,2159.5833333333335,27,2019-02-18,99.0,2019
31669125,Modern one bedroom in Chicago's Northside,0.0,Avondale,41.94543,-87.70735,Entire home/apt,90.0,631.7307692307693,2737.5,10,2019-03-16,100.0,2019
31689241,Cozy Room in Charming North Chicago Apartment,0.0,North Center,41.95878,-87.67664,Private room,35.0,245.67307692307693,1064.5833333333333,8,2019-01-26,100.0,2019
31689334,Beautiful private room in the heart of Old Town,0.0,Near North Side,41.90855,-87.63243,Private room,85.0,596.6346153846154,2585.4166666666665,8,2019-03-18,100.0,2019
31698487,Queen Bunk Bed -Free Street Parking-5 min Downtown,0.0,West Town,41.89432,-87.6581,Private room,55.0,386.0576923076923,1672.9166666666667,8,2019-02-18,98.0,2019
31708863,"VERY CLEAN, SUNNY ROOM 5 MIN TO DOWNTOWN",0.0,Near West Side,41.87773,-87.64292,Private room,10.0,70.1923076923077,304.1666666666667,24,2019-01-25,87.0,2019
31717239,1300 Sq.Ft. Cozy Apartment with Vintage Charm,0.0,West Town,41.89476,-87.6843,Entire home/apt,79.0,554.5192307692307,2402.9166666666665,12,2019-02-24,98.0,2019
31718887,Fully equipped suite in garden basement (+Sauna),0.0,Austin,41.92145,-87.80259,Entire home/apt,49.0,343.9423076923077,1490.4166666666667,17,2019-02-04,93.0,2019
